Year of Event,Name of Event,Tournament Division,Type of Sport,Event Frequency,Host_Org,Host2,Host3,Facility,Facility Latitude,Facility Longitude,Location2,Location3,Location4,Location5,Location6,Location7,Start Date,End Date,Duration,Team Location,Team Province/State,Registration_Revenue,Date of Entry
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,Ayr,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,El Segundo,CA,,
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,Fenwick,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,Woodbridge,NJ,,
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,Denver,CO,,
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,Port Elgin,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,St. Marys,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,Grand Rapids,MI,,
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,Milton,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,Barrie,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,Napanee,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,Freeport,NY,,
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,Dorchester,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,Artesia,CA,,
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,London,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Bob Gale Centre,Vale Health and Wellness Centre,,,,2018-01-11,2018-01-14,4,Midland,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt LL,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,,,,,,2018-01-12,2018-01-14,3,Monument,CO,,
2018,International Silver Stick Pelham Finals,Atom/Squirt LL,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,,,,,,2018-01-12,2018-01-14,3,Aylmer,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt LL,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,,,,,,2018-01-12,2018-01-14,3,Mount Brydges,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt LL,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,,,,,,2018-01-12,2018-01-14,3,Fenwick,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt LL,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,,,,,,2018-01-12,2018-01-14,3,Whitby,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt LL,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,,,,,,2018-01-12,2018-01-14,3,Havelock,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt LL,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,,,,,,2018-01-12,2018-01-14,3,Parkhill,ON,,
2018,International Silver Stick Pelham Finals,Atom/Squirt LL,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,,,,,,2018-01-12,2018-01-14,3,Monroe,MI,,
2018,International Silver Stick Pelham Finals,Bantam AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Gatorade Garden City Complex - Rex Stimers Arena,Bob Gale Centre,Gatorade Garden City Complex - Jack Gatecliffe,Vale Health and Wellness Centre,,2018-01-11,2018-01-14,4,Mitchell,ON,,
2018,International Silver Stick Pelham Finals,Bantam AE,Ice Hockey,Annual,Pelham Minor Hockey Association,,,Pelham Arena,43.02651503,-79.29488012,Seymour Hannah Sports and Entertainment Centre,Gatorade Garden City Complex - Rex Stimers Arena,Bob Gale Centre,Gatorade Garden City Complex - Jack Gatecliffe,Vale Health and Wellness Centre,,2018-01-11,2018-01-14,4,Pelham,ON,,
